0,"Existentielle Bedrohungen gehen vom Geburtenrückgang, einer rasch voranschreitenden Überfremdung, der Fremdbestimmung
durch übernationale Institutionen und der Globalisierung mit ihren verheerenden Folgen aus."
1,"### Nationale Identität

Nationale Identität bedeutet: Deutschland muß das Land der Deutschen bleiben und
muß es dort, wo dies nicht mehr der Fall
ist, wieder werden."
2,"Die Bewahrung unserer nationalen Identität und Sicherung unseres Heimatrechtes
erfordert eine den Bestand des deutschen
Volkes sichernde aktive Familien- und Bevölkerungspolitik."
3,"### Nationale Souveränität

Nationale Souveränität bedeutet nach innen
das Recht der Deutschen, sich nach Artikel
146 des Grundgesetzes ohne Einflußnahme
fremder Mächte eine vom Volk verabschiedete Verfassung zu geben."
4,"Der Nationalstaat ist der notwendige politische Rahmen der Volksherrschaft
und der einzige Garant sozialer Verteilungsgerechtigkeit, die es ohne das Bewußtsein
nationaler Loyalität und Zusammengehörigkeit nicht geben kann."
5,"Die Wirtschaft hat dem Volk zu
dienen und nicht umgekehrt."
6,"Dieser
Entwicklung gilt es kompromißlos entgegenzutreten."
7,"Wir
Nationaldemokraten sind im Existenzkampf
um den Bestand unseres Volkes die Stimme
des nationalen und sozialen Deutschlands."
8,"Auf ihr fußen
Volk und Staat, weshalb der Familie auch die besondere Zuwendung und Fürsorge
des Staates zuteil werden muß."
9,"### b) Intaktes Volk durch intakte Familie

Die Familie muß wieder sinnstiftende Wirkung entfalten und dem einzelnen sittlichen
Halt und persönliche Sicherheit geben."
10,"In
der Geborgenheit der Familie können charakterstarke, gemeinschaftsfähige, gesundeund leistungsstarke Kinder heranwachsen."
11,"Die Familie – als Trägerin des biologischen
Erbes – ist die Keimzelle des Volkes."
12,"Die
besondere Bedeutung der Familie für die
Zukunftsfähigkeit unseres Volkes wird angesichts einer katastrophalen Bevölkerungsentwicklung in einem vergreisenden Deutschland
immer deutlicher."
13,"Dieser
Entwicklung gilt es Einhalt zu gebieten."
14,"Die Unabhängigkeit der gesetzgebenden,
der ausführenden und der rechtsprechenden Gewalt im Staat ist sicherzustellen."
15,"Bei nationalen Lebensfragen muß der Einfluß des Souveräns durch Volksentscheide
auf allen politischen Ebenen gestärkt werden."
16,"Das Selbstbestimmungsrecht des Volkes
darf nicht durch Rechtsetzungsakte überstaatlicher Organisationen wie der Europäischen Union, der UNO oder der WTO ausgehöhlt werden."
17,"Diese Verfassung kann nur durch das Volk
selbst geändert werden."
18,"Der
Staat muß daher der Wirtschaft einen
ordnungspolitischen Rahmen setzen."
19,"Zweck des Wirtschaftens ist die Bedarfsdeckung des Volkes und die Schaffung von
Werten."
20,"Aufgabe des Staates ist die gerechte Verteilung des Wohlstandes sowie
der Erhalt und die Schaffung von Arbeitsplätzen."
21,Die heimischen kleinen und mittelständischen Unternehmen sind vor der Marktmacht der global agierenden Großkonzerne zu schützen.
22,"Dem Machtmißbrauch durch privatwirtschaftliche Monopole ist mit einem wirkungsvollen
Kartellrecht zu begegnen."
23,"### d) Keine Spekulationspolitik

Die Dominanz der Finanzmärkte über die
Volkswirtschaft und der Vorrang der Spekulation vor der Produktion sind zu brechen."
24,Ausufernde Bürokratie ist abzubauen.
25,"Die deutsche Wirtschaft einschließlich der
in Deutschland tätigen ausländischen Unternehmen hat dem deutschen Volk, seiner
materiellen Sicherung und seiner geistigkulturellen Entwicklung zu dienen."
26,"Die Wirtschaft darf Deutschlands Umwelt
nicht zerstören und unser Volk nicht entfremden."
27,"### a)Zerstörerische Folgen der Globalisierung
Die Globalisierung der Wirtschaft beruht auf
dem überholten und falschen Ziel der maximalen Ausbeutung der Erde durch Schaffung von wirtschaftlichen Monokulturen."
28,"Die NPD lehnt die Globalisierung der deutschen
Wirtschaft auch deshalb ab, weil diese in weiten Teilen Deutschlands unmittelbar zu Massenerwerbslosigkeit und zum Niedergang ganzer Wirtschaftszweige führt."
29,"Ein Technologieraub durch die Übernahme deutscher
Unternehmen mittels ausländischen Kapitals ist zu verhindern."
30,"## 6.NATIONALE WÄHRUNGS-,STEUER- UND FINANZPOLITIK

Grundlage sozialer Gerechtigkeit ist eine
eigenständige nationale Währungs-, Steuer und Finanzpolitik."
31,"### a) Zentralbank und nationale Währung

Deutschland braucht eine eigenständige nationale Währungs- und Zinspolitik."
32,"Deshalb fordert die NPD die Wiedereinführung der D-Mark zu einem sozial gerechten
Wechselkurs unter der Aufsicht einer weisungsungebundenen, nationalen Zentralbank, die das alleinige Recht der Geldschöpfung besitzt."
33,"### b) Gerechte Steuerlast-Verteilung

Steuern bilden die Grundlage des Staatshaushalts."
34,Der gesamte Bereich der Beihilfen und Investitionssubventionen aus Steuermitteln bedarf einer grundsätzlichen Neubewertung.
35,"SOZIALPOLITIK ALS NATIONALE SOLIDARITÄT

Nationale Sozialpolitik verbindet soziale
Gerechtigkeit und wirtschaftliche Vernunft."
36,"Die dramatische Entvölkerung ganzer Landstriche, die Überalterung unseres Landes,
Rationalisierung und beschleunigte Globalisierung zerstören die Grundlagen der
deutschen Sozialsysteme, da deren Finanzierung an die Erwerbsarbeit gekoppelt ist."
37,"Nationale Sozialpolitik bedeutet
soziale Gerechtigkeit für Arbeitnehmer wie
Arbeitgeber gleichermaßen."
38,"### e) Sozialversicherungssystem in staatlicher Hand

Privatisierungen im Bereich der sozialen Sicherungssysteme lehnt die NPD entschieden
ab."
39,"Der Gesundheitsschutz steht heute nicht mehr im Vordergrund
der Gesundheitspolitik, da Krankheiten vielfach der Profitmaximierung von Pharmakonzernen und privaten Gesundheitsdienstleistern dienen."
40,"### c) Gesundheit, Ernährung und Sport
Die Erziehung zum Gesundheitsbewußtsein muß bereits in den Schulen und Kindergärten beginnen."
41,"Um eine
Zweckentfremdung der Rücklagen durch
die politisch Verantwortlichen auszuschließen, muß die Volksrentenkasse auf rechtlich
selbständige Beine gestellt werden."
42,"### a) Grundrente

Aufgrund der unterschiedlichen Erwerbsbiographien, die zum Teil lange Zeiten der Arbeitslosigkeit oder geringer Entlohnung enthalten, ist
eine existenzsichernde Grundrente für alle Deutschen einzuführen."
43,"Um diese Fehlentwicklung zu
stoppen, muß das ursprüngliche, auf dem
Abstammungsprinzip fußende Staatsbürgerschaftsrecht wieder eingeführt werden."
44,"Die NPD fordert deswegen eine gesetzliche Regelung
zur Rückführung der derzeit hier lebenden
Ausländer."
45,Der sogenannte „Asylparagraph“ Art.
46,"16
a GG ist daher ersatzlos zu streichen."
47,Das „Zwei plus Vier“Abkommen hat keine deutsche Souveränität hergestellt.
48,"Eine an die Stelle der Nationalverfassungen
tretende EU-Verfassung lehnt die NPD strikt
ab."
49,"### b) Das Europa der Völker

Weltweit erteilt der Aufbruch der Völker
dem multikulturellen Einheitswahn eine Absage."
50,"In Europa muß das Bekenntnis zum
abendländischen Erbe, zum nationalstaatlichen Ordnungsprinzip, zur Anwendung
des Selbstbestimmungsrechts der Völker
und zum Prinzip der Volkszugehörigkeit
Grundlage einer Neuordnung sein."
51,"So wird
an die Stelle eines „EU-Europas“ der Technokraten ein lebenskräftiges Europa der
Völker treten, das frei, zukunftsfähig, sozial gerecht und in seinen nationalen Identitäten geschützt ist."
52,"Die NPD fordert den sofortigen Abzug
aller deutschen Soldaten aus anderen Ländern."
53,"Die NPD bestreitet die Rechtmäßigkeit der durch die Alliierten erzwungenen
Grenzanerkennungsverträge."
54,"### c) Streichung der „Feindstaatenklauseln“

In der ersatzlosen Streichung der sogenannten „Feindstaatenklauseln“ (Artikel 53 und
107 der Charta der Vereinten Nationen) sieht
die NPD die Voraussetzung für die Gleichberechtigung eines freien Deutschlands mit
den Völkern der Welt."
55,Der Mensch ist Teil der Natur.
56,"Der Materialismus der letzten Jahrzehnte hat die Zerstörung der natürlichen Lebensgrundlagen in unverantwortlicher
Weise vorangetrieben."
57,"Der Staat
hat regionale Vermarktung und Preisentwicklung im Sinne einer das Einkommen
und die Existenzgrundlagen der Landwirte
sichernden Entwicklung zu beachten."
58,Die Landwirtschaft ist standortgebunden und trägt somit wesentlich zu Pflege und Erhalt der Kulturlandschaft in Deutschland bei.
59,"Die kleinteilige
bäuerliche Landwirtschaft ist dagegen zu
fördern."
60,"Der Forschungsdrang der Wissenschaft hat
dort seine Grenzen, wo die Tierquälerei beginnt."
61,"Tierquälerei – wie beispielsweise das
kulturfremde Schächten – ist ein Verbrechen
und strafrechtlich streng zu ahnden."
62,"Der Aufrüstung der bereits vorhandenen
Kraftwerkstechnik vor Neubauvorhaben
bei Kohle- und Gaskraftwerken ist der Vorzug zu geben."
63,"Die
energetische Gebäudesanierung ist zu fördern."
64,"Die Verlagerung des Waren- und
Güterverkehrs weg von der Straße ist anzustreben."
65,"Es ist sicherzustellen, daß über die Wahl
der Schulart das Leistungsvermögen
der Schüler entscheidet."
66,"Die im Zuge des „Bologna-Prozesses“ eingeführten Schritte
zur Schaffung eines gleichgeschalteten europäischen Hochschulraums sind rückgängig zu machen."
67,Der Schutz der deutschen Sprache muß Verfassungsrang erhalten.
68,"REFORM DES RECHTSSYSTEMS

Die Grundrechte müssen in unserem Land
für jeden Deutschen, ungeachtet seiner politischen Einstellung, Gültigkeit besitzen."
69,Die Unabhängigkeit der Justiz ist sicherzustellen.
70,Der Schutz der Opfer von Gewaltverbrechen ist zu gewährleisten.
71,Lebenslange Freiheitsstrafe muß tatsächlich lebenslangen Freiheitsentzug bedeuten.
72,"Die Freiheit
der Wissenschaft, insbesondere der Geschichtsforschung, ist staatlich zu garantieren."
73,"Der Ehrenschutz des deutschen Volkes ist
wirksam zu gewährleisten."
74,"Rechtsfreie
Räume darf es deshalb nicht geben, weil
damit die Autorität und Legitimität der ausführenden Gewalt relativiert wird."
75,"Entsprechende Verpflichtungen,
die der Bundesrepublik aus der Anerkennung
des „internationalen Haftbefehls“ erwachsen,
sind erforderlichenfalls zu kündigen."
76,"Verstöße gegen
das Betäubungsmittelgesetz sind härter zu
ahnden."
77,"Die NPD
befürwortet die Einführung einer deutschlandweiten, öffentlich einsehbaren Sexualstraftäter-Datei sowie die gesetzliche Möglichkeit der Kastration von Pädophilen."
78,"Privatisierungen im Strafvollzug
lehnt die NPD mit Nachdruck ab."
79,Die NPD lehnt deshalb alle Privatisierungsvorhaben im Verteidigungsressort mit Nachdruck ab.
80,"### d) Friedenssicherung

Angesichts der weltweiten Verbreitung
von Nuklearwaffen ist im Rahmen eines zu
schaffenden Europäischen Sicherheitssystems auch der Tatsache Rechnung zu tragen, daß erst bei Besitz und der Fähigkeit zur Anwendung von Atomwaffen von einer vollständigen staatlichen Souveränität
zu sprechen ist."
81,"Oberster Grundsatz ist hierbei, im Verteidigungsfall unter Wahrung des Völkerrechts das Selbstbestimmungsrecht des deutschen Volkes wie auch der
europäischen Völker zu verteidigen."
82,"### f) Versorgung als Ehrenpflicht
Die Versorgung von Kriegsteilnehmern und
ihren Angehörigen ist eine Ehrenpflicht des
deutschen Volkes.

"
